Date,Value
2008-08-14 16:00:00,123085.0
2008-08-15 16:00:00,121508.0
2008-08-18 16:00:00,113921.0
2008-08-19 16:00:00,104346.0
2008-08-20 16:00:00,107244.0
2008-08-21 16:00:00,103763.0
2008-08-22 16:00:00,107396.0
2008-08-25 16:00:00,100088.0
2008-08-26 16:00:00,103039.0
2008-08-27 16:00:00,104747.0
2008-08-28 16:00:00,108491.0
2008-08-29 16:00:00,107879.0
2008-09-02 16:00:00,109227.0
2008-09-03 16:00:00,102673.0
2008-09-04 16:00:00,92958.0
2008-09-05 16:00:00,102554.0
2008-09-08 16:00:00,91424.0
2008-09-09 16:00:00,27322.0
2008-09-10 16:00:00,54280.0
2008-09-11 16:00:00,79884.0
2008-09-12 16:00:00,87260.0
2008-09-15 16:00:00,2246.0
2008-09-16 16:00:00,41679.0
2008-09-17 16:00:00,-8769.0
2008-09-18 16:00:00,77401.0
2008-09-19 16:00:00,190625.0
2008-09-22 16:00:00,108909.0
2008-09-23 16:00:00,82224.0
2008-09-24 16:00:00,77628.0
2008-09-25 16:00:00,88277.0
2008-09-26 16:00:00,88596.0
2008-09-29 16:00:00,-31799.0
2008-09-30 16:00:00,75455.0
2008-10-01 16:00:00,61361.0
2008-10-02 16:00:00,-59146.0
2008-10-03 16:00:00,-99084.0
2008-10-06 16:00:00,-187891.0
2008-10-07 16:00:00,-299144.0
2008-10-08 16:00:00,-312478.0
2008-10-09 16:00:00,-500965.0
2008-10-10 16:00:00,-507059.0
2008-10-13 16:00:00,-149341.0
2008-10-14 16:00:00,-149609.0
2008-10-15 16:00:00,-362848.0
2008-10-16 16:00:00,-238582.0
2008-10-17 16:00:00,-242396.0
2008-10-20 16:00:00,-164408.0
2008-10-21 16:00:00,-232844.0
2008-10-22 16:00:00,-363376.0
2008-10-23 16:00:00,-375567.0
2008-10-24 16:00:00,-429295.0
2008-10-27 16:00:00,-505053.0
2008-10-28 16:00:00,-274095.0
2008-10-29 16:00:00,-253408.0
2008-10-30 16:00:00,-199191.0
2008-10-31 16:00:00,-169531.0
2008-11-03 16:00:00,-169414.0
2008-11-04 16:00:00,-148074.0
2008-11-05 16:00:00,-172213.0
2008-11-06 16:00:00,-233654.0
2008-11-07 16:00:00,-180061.0
2008-11-10 16:00:00,-219899.0
2008-11-11 16:00:00,-266707.0
2008-11-12 16:00:00,-394733.0
2008-11-13 16:00:00,-246217.0
2008-11-14 16:00:00,-309359.0
2008-11-17 16:00:00,-369403.0
2008-11-18 16:00:00,-373226.0
2008-11-19 16:00:00,-503002.0
2008-11-20 16:00:00,-638324.0
2008-11-21 16:00:00,-492290.0
2008-11-24 16:00:00,-317458.0
2008-11-25 16:00:00,-275580.0
2008-11-26 16:00:00,-181797.0
2008-11-28 16:00:00,-172747.0
2008-12-01 16:00:00,-182752.0
2008-12-02 16:00:00,-132195.0
2008-12-03 16:00:00,-95637.0
2008-12-04 16:00:00,-135132.0
2008-12-05 16:00:00,-69443.0
2008-12-08 16:00:00,5070.0
2008-12-09 16:00:00,1590.0
2008-12-10 16:00:00,20136.0
2008-12-11 16:00:00,-8266.0
2008-12-12 16:00:00,5841.0
2008-12-15 16:00:00,-9805.0
2008-12-16 16:00:00,49201.0
2008-12-17 16:00:00,51608.0
2008-12-18 16:00:00,33495.0
2008-12-19 16:00:00,37791.0
2008-12-22 16:00:00,20156.0
2008-12-23 16:00:00,17729.0
2008-12-24 16:00:00,19608.0
2008-12-26 16:00:00,25669.0
2008-12-29 16:00:00,23512.0
2008-12-30 16:00:00,32925.0
2008-12-31 16:00:00,34572.0
2009-01-02 16:00:00,35284.0
2009-01-05 16:00:00,34917.0
2009-01-06 16:00:00,35593.0
2009-01-07 16:00:00,34170.0
2009-01-08 16:00:00,36929.0
2009-01-09 16:00:00,24412.0
2009-01-12 16:00:00,583.0
2009-01-13 16:00:00,8869.0
2009-01-14 16:00:00,-33905.0
2009-01-15 16:00:00,-26074.0
2009-01-16 16:00:00,-19817.0
2009-01-20 16:00:00,-83593.0
2009-01-21 16:00:00,-12091.0
2009-01-22 16:00:00,-46401.0
2009-01-23 16:00:00,-27963.0
2009-01-26 16:00:00,-30068.0
2009-01-27 16:00:00,-14547.0
2009-01-28 16:00:00,3000.0
2009-01-29 16:00:00,-11353.0
2009-01-30 16:00:00,-23768.0
2009-02-02 16:00:00,-27022.0
2009-02-03 16:00:00,-22240.0
2009-02-04 16:00:00,-24059.0
2009-02-05 16:00:00,-10753.0
2009-02-06 16:00:00,2959.0
2009-02-09 16:00:00,5175.0
2009-02-10 16:00:00,-4466.0
2009-02-11 16:00:00,2822.0
2009-02-12 16:00:00,2566.0
2009-02-13 16:00:00,-6135.0
2009-02-17 16:00:00,-45796.0
2009-02-18 16:00:00,-48081.0
2009-02-19 16:00:00,-61498.0
2009-02-20 16:00:00,-63297.0
2009-02-23 16:00:00,-96274.0
2009-02-24 16:00:00,-33139.0
2009-02-25 16:00:00,-44544.0
2009-02-26 16:00:00,-52031.0
2009-02-27 16:00:00,-68337.0
2009-03-02 16:00:00,-114558.0
2009-03-03 16:00:00,-115537.0
2009-03-04 16:00:00,-85329.0
2009-03-05 16:00:00,-130089.0
2009-03-06 16:00:00,-134473.0
2009-03-09 16:00:00,-137547.0
2009-03-10 16:00:00,-87369.0
2009-03-11 16:00:00,-81265.0
2009-03-12 16:00:00,-53789.0
2009-03-13 16:00:00,-52191.0
2009-03-16 16:00:00,-52886.0
2009-03-17 16:00:00,-45944.0
2009-03-18 16:00:00,-40297.0
2009-03-19 16:00:00,-43711.0
2009-03-20 16:00:00,-52977.0
2009-03-23 16:00:00,-3993.0
2009-03-24 16:00:00,-15997.0
2009-03-25 16:00:00,-9677.0
2009-03-26 16:00:00,3266.0
2009-03-27 16:00:00,-7756.0
2009-03-30 16:00:00,-22123.0
2009-03-31 16:00:00,-4792.0
2009-04-01 16:00:00,5480.0
2009-04-02 16:00:00,31207.0
2009-04-03 16:00:00,48720.0
2009-04-06 16:00:00,42065.0
2009-04-07 16:00:00,39366.0
2009-04-08 16:00:00,43344.0
2009-04-09 16:00:00,63458.0
2009-04-13 16:00:00,66737.0
2009-04-14 16:00:00,57339.0
2009-04-15 16:00:00,74034.0
2009-04-16 16:00:00,76746.0
2009-04-17 16:00:00,80362.0
2009-04-20 16:00:00,58067.0
2009-04-21 16:00:00,97777.0
2009-04-22 16:00:00,97631.0
2009-04-23 16:00:00,109964.0
2009-04-24 16:00:00,132519.0
2009-04-27 16:00:00,114603.0
2009-04-28 16:00:00,113204.0
2009-04-29 16:00:00,120999.0
2009-04-30 16:00:00,122530.0
2009-05-01 16:00:00,122599.0
2009-05-04 16:00:00,138814.0
2009-05-05 16:00:00,137284.0
2009-05-06 16:00:00,142714.0
2009-05-07 16:00:00,138708.0
2009-05-08 16:00:00,155458.0
2009-05-11 16:00:00,144722.0
2009-05-12 16:00:00,137553.0
2009-05-13 16:00:00,112215.0
2009-05-14 16:00:00,130744.0
2009-05-15 16:00:00,119620.0
2009-05-18 16:00:00,155843.0
2009-05-19 16:00:00,156768.0
2009-05-20 16:00:00,154933.0
2009-05-21 16:00:00,153422.0
2009-05-22 16:00:00,153471.0
2009-05-26 16:00:00,158910.0
2009-05-27 16:00:00,155969.0
2009-05-28 16:00:00,160043.0
2009-05-29 16:00:00,165886.0
2009-06-01 16:00:00,168701.0
2009-06-02 16:00:00,169020.0
2009-06-03 16:00:00,166361.0
2009-06-04 16:00:00,171016.0
2009-06-05 16:00:00,169960.0
2009-06-08 16:00:00,169612.0
2009-06-09 16:00:00,172354.0
2009-06-10 16:00:00,172397.0
2009-06-11 16:00:00,172032.0
2009-06-12 16:00:00,171736.0
2009-06-15 16:00:00,170557.0
2009-06-16 16:00:00,168427.0
2009-06-17 16:00:00,165835.0
2009-06-18 16:00:00,166757.0
2009-06-19 16:00:00,168902.0
2009-06-22 16:00:00,158144.0
2009-06-23 16:00:00,163391.0
2009-06-24 16:00:00,170965.0
2009-06-25 16:00:00,180862.0
2009-06-26 16:00:00,181040.0
2009-06-29 16:00:00,183211.0
2009-06-30 16:00:00,183233.0
2009-07-01 16:00:00,181844.0
2009-07-02 16:00:00,181090.0
2009-07-06 16:00:00,181586.0
2009-07-07 16:00:00,174755.0
2009-07-08 16:00:00,171494.0
2009-07-09 16:00:00,174224.0
2009-07-10 16:00:00,172095.0
2009-07-13 16:00:00,177475.0
